time,P,G(i),H_sun,T2m,WS10m,Int
20190404:1210,154130.0,382.71,44.74,17.97,4.07,0.0
20190404:1310,325345.0,811.06,40.0,18.41,3.79,0.0
20190404:1410,261245.0,646.82,32.9,18.09,3.17,0.0
20190404:1510,183275.0,456.79,24.3,16.0,2.55,0.0
20190404:1610,78245.0,223.88,14.9,12.53,3.59,0.0
20190404:1710,2690.0,17.07,5.18,10.06,4.21,0.0
20190404:1810,0.0,0.0,0.0,8.48,3.93,0.0
20190404:1910,0.0,0.0,0.0,6.35,4.21,0.0
20190404:2010,0.0,0.0,0.0,5.56,3.72,0.0
20190404:2110,0.0,0.0,0.0,5.26,3.52,0.0
20190404:2210,0.0,0.0,0.0,5.3,3.17,0.0
20190404:2310,0.0,0.0,0.0,5.2,2.9,0.0
20190405:0010,0.0,0.0,0.0,5.02,2.62,0.0
20190405:0110,0.0,0.0,0.0,4.79,2.41,0.0
20190405:0210,0.0,0.0,0.0,4.67,2.07,0.0
20190405:0310,0.0,0.0,0.0,4.59,1.93,0.0
20190405:0410,0.0,0.0,0.0,4.35,1.72,0.0
20190405:0510,0.0,4.6,3.82,4.24,1.38,0.0
20190405:0610,16030.0,51.47,13.56,4.31,0.83,0.0
20190405:0710,22020.0,66.18,23.05,5.45,0.76,0.0
20190405:0810,101380.0,247.68,31.85,6.02,0.28,0.0
20190405:0910,72150.0,181.99,39.28,6.4,0.28,0.0
20190405:1010,79085.0,198.53,44.51,7.43,0.48,0.0
20190405:1110,183825.0,444.94,46.61,8.07,0.34,0.0
20190405:1210,153655.0,373.02,45.09,8.98,0.69,0.0
20190405:1310,150075.0,363.99,40.32,10.15,1.45,0.0
20190405:1410,222505.0,536.84,33.18,11.36,2.0,0.0
20190405:1510,131695.0,324.89,24.56,12.23,2.14,0.0
20190405:1610,72145.0,204.86,15.14,12.93,1.59,0.0
20190405:1710,5480.0,25.34,5.42,12.52,0.9,0.0
20190405:1810,0.0,0.0,0.0,11.37,1.1,0.0
20190405:1910,0.0,0.0,0.0,9.41,1.17,0.0
20190405:2010,0.0,0.0,0.0,8.31,0.97,0.0
20190405:2110,0.0,0.0,0.0,7.98,0.69,0.0
20190405:2210,0.0,0.0,0.0,8.02,0.48,0.0
20190405:2310,0.0,0.0,0.0,7.61,0.55,0.0
20190406:0010,0.0,0.0,0.0,6.22,1.03,0.0
20190406:0110,0.0,0.0,0.0,5.84,1.66,0.0
20190406:0210,0.0,0.0,0.0,6.38,2.0,0.0
20190406:0310,0.0,0.0,0.0,6.73,2.14,0.0
20190406:0410,0.0,0.0,0.0,6.5,2.14,0.0
20190406:0510,160.0,6.43,4.16,6.4,2.14,0.0
20190406:0610,85880.0,229.06,13.89,6.92,1.93,0.0
20190406:0710,195950.0,471.11,23.4,9.14,2.07,0.0
20190406:0810,287095.0,692.83,32.2,11.19,2.48,0.0
20190406:0910,336820.0,819.9,39.66,12.97,3.59,0.0
20190406:1010,339730.0,830.34,44.9,14.02,4.07,0.0
20190406:1110,306480.0,746.85,46.99,14.32,4.07,0.0
20190406:1210,333335.0,818.44,45.44,14.64,3.79,0.0
20190406:1310,344225.0,843.68,40.63,14.77,3.93,0.0
20190406:1410,260535.0,631.43,33.46,15.11,4.07,0.0
20190406:1510,188705.0,464.74,24.81,14.72,3.59,0.0
20190406:1610,72315.0,205.59,15.38,14.38,3.1,0.0
20190406:1710,4450.0,22.68,5.66,13.64,2.9,0.0
20190406:1810,0.0,0.0,0.0,12.05,2.9,0.0
20190406:1910,0.0,0.0,0.0,11.47,3.38,0.0
20190406:2010,0.0,0.0,0.0,10.41,3.1,0.0
20190406:2110,0.0,0.0,0.0,9.46,2.83,0.0
20190406:2210,0.0,0.0,0.0,8.57,2.55,0.0
20190406:2310,0.0,0.0,0.0,7.73,2.48,0.0
20190407:0010,0.0,0.0,0.0,7.05,2.48,0.0
20190407:0110,0.0,0.0,0.0,6.44,2.41,0.0
20190407:0210,0.0,0.0,0.0,5.89,2.48,0.0
20190407:0310,0.0,0.0,0.0,5.44,2.55,0.0
20190407:0410,0.0,0.0,0.0,5.09,2.62,0.0
20190407:0510,4415.0,22.49,4.5,4.88,2.62,0.0
20190407:0610,94755.0,250.41,14.23,5.68,2.48,0.0
20190407:0710,207465.0,491.71,23.74,7.74,3.24,0.0
20190407:0810,300425.0,713.4,32.56,9.62,3.59,0.0
20190407:0910,368190.0,894.04,40.03,11.32,3.59,0.0
20190407:1010,408375.0,1009.07,45.28,12.83,3.79,0.0
20190407:1110,386145.0,957.28,47.37,14.0,3.72,0.0
20190407:1210,312840.0,768.71,45.8,14.79,3.45,0.0
20190407:1310,271555.0,664.01,40.94,15.07,3.24,0.0
20190407:1410,144510.0,354.84,33.73,14.92,3.38,0.0
20190407:1510,77940.0,199.88,25.06,14.19,3.72,0.0
20190407:1610,43360.0,121.39,15.62,13.1,3.66,0.0
20190407:1710,7815.0,31.8,5.89,12.16,3.31,0.0
20190407:1810,0.0,0.0,0.0,11.23,2.76,0.0
20190407:1910,0.0,0.0,0.0,10.44,1.93,0.0
20190407:2010,0.0,0.0,0.0,9.82,1.79,0.0
20190407:2110,0.0,0.0,0.0,9.13,1.72,0.0
20190407:2210,0.0,0.0,0.0,8.65,1.59,0.0
20190407:2310,0.0,0.0,0.0,8.13,1.59,0.0
20190408:0010,0.0,0.0,0.0,7.55,1.59,0.0
20190408:0110,0.0,0.0,0.0,6.94,1.59,0.0
20190408:0210,0.0,0.0,0.0,6.48,1.59,0.0
20190408:0310,0.0,0.0,0.0,6.09,1.52,0.0
20190408:0410,0.0,0.0,0.0,5.6,1.52,0.0
20190408:0510,4725.0,23.38,4.83,5.2,1.45,0.0
20190408:0610,90875.0,241.29,14.56,6.35,0.83,0.0
20190408:0710,179470.0,436.7,24.08,8.6,0.34,0.0
20190408:0810,256995.0,630.75,32.91,10.98,0.69,0.0
20190408:0910,332650.0,834.79,40.4,12.59,1.17,0.0
20190408:1010,360680.0,934.25,45.66,13.69,0.62,0.0
20190408:1110,331945.0,857.25,47.74,14.08,0.41,0.0
20190408:1210,331655.0,850.1,46.14,14.14,0.69,0.0
20190408:1310,324050.0,819.46,41.25,14.27,1.1,0.0
20190408:1410,246525.0,609.22,34.01,14.24,1.31,0.0
20190408:1510,134390.0,336.31,25.31,14.28,1.17,0.0
20190408:1610,40255.0,114.25,15.86,13.96,1.38,0.0
20190408:1710,6610.0,28.3,6.13,13.21,1.17,0.0
20190408:1810,0.0,0.0,0.0,12.21,1.17,0.0
20190408:1910,0.0,0.0,0.0,11.71,0.76,0.0
20190408:2010,0.0,0.0,0.0,11.15,0.55,0.0
20190408:2110,0.0,0.0,0.0,10.35,0.69,0.0
20190408:2210,0.0,0.0,0.0,9.86,0.62,0.0
20190408:2310,0.0,0.0,0.0,9.7,0.48,0.0
20190409:0010,0.0,0.0,0.0,8.09,0.97,0.0
20190409:0110,0.0,0.0,0.0,7.01,1.38,0.0
20190409:0210,0.0,0.0,0.0,6.41,1.52,0.0
20190409:0310,0.0,0.0,0.0,6.07,1.31,0.0
20190409:0410,0.0,0.0,0.0,5.7,1.24,0.0
20190409:0510,1020.0,10.11,5.16,5.89,1.1,0.0
20190409:0610,14635.0,48.71,14.89,7.86,0.62,0.0
20190409:0710,31965.0,90.99,24.42,9.55,0.69,0.0
20190409:0810,99275.0,248.04,33.26,11.59,1.03,0.0
20190409:0910,187245.0,459.68,40.77,13.27,1.17,0.0
20190409:1010,324335.0,820.03,46.04,14.61,1.38,0.0
20190409:1110,226665.0,564.7,48.12,15.75,1.38,0.0
20190409:1210,134530.0,337.31,46.49,16.3,1.66,0.0
20190409:1310,189310.0,466.08,41.56,15.74,2.34,0.0
20190409:1410,68060.0,177.39,34.28,14.49,2.76,0.0
20190409:1510,162225.0,401.27,25.56,14.56,2.76,0.0
20190409:1610,72775.0,206.05,16.09,14.24,2.76,0.0
20190409:1710,8635.0,34.31,6.36,13.49,2.48,0.0
20190409:1810,0.0,0.0,0.0,12.48,3.1,0.0
20190409:1910,0.0,0.0,0.0,11.18,3.52,0.0
20190409:2010,0.0,0.0,0.0,10.15,3.72,0.0
20190409:2110,0.0,0.0,0.0,9.23,3.79,0.0
20190409:2210,0.0,0.0,0.0,8.41,3.86,0.0
20190409:2310,0.0,0.0,0.0,7.8,3.86,0.0
20190410:0010,0.0,0.0,0.0,7.15,3.72,0.0
20190410:0110,0.0,0.0,0.0,6.76,3.52,0.0
20190410:0210,0.0,0.0,0.0,6.33,3.38,0.0
20190410:0310,0.0,0.0,0.0,5.92,3.24,0.0
20190410:0410,0.0,0.0,0.0,5.51,3.1,0.0
20190410:0510,4110.0,20.67,5.49,5.28,3.1,0.0
20190410:0610,55950.0,147.39,15.22,5.34,3.31,0.0
20190410:0710,123465.0,293.59,24.75,5.3,3.31,0.0
20190410:0810,187230.0,437.45,33.61,6.42,3.52,0.0
20190410:0910,296130.0,698.4,41.13,7.85,3.66,0.0
20190410:1010,323840.0,771.87,46.42,8.75,3.66,0.0
20190410:1110,317365.0,762.15,48.49,9.91,3.45,0.0
20190410:1210,178280.0,429.44,46.84,11.79,3.45,0.0
20190410:1310,158570.0,383.84,41.87,12.32,3.45,0.0
20190410:1410,91900.0,230.4,34.55,12.73,3.66,0.0
20190410:1510,113160.0,279.68,25.81,12.27,3.66,0.0
20190410:1610,79825.0,226.27,16.33,11.64,3.52,0.0
20190410:1710,8265.0,33.48,6.6,10.92,3.1,0.0
20190410:1810,0.0,0.0,0.0,9.83,2.9,0.0
20190410:1910,0.0,0.0,0.0,8.45,2.97,0.0
20190410:2010,0.0,0.0,0.0,7.58,3.24,0.0
20190410:2110,0.0,0.0,0.0,6.61,3.52,0.0
20190410:2210,0.0,0.0,0.0,5.52,3.59,0.0
20190410:2310,0.0,0.0,0.0,4.63,3.45,0.0
20190411:0010,0.0,0.0,0.0,3.91,3.31,0.0
20190411:0110,0.0,0.0,0.0,3.34,3.24,0.0
20190411:0210,0.0,0.0,0.0,2.98,3.24,0.0
20190411:0310,0.0,0.0,0.0,2.55,3.24,0.0
20190411:0410,0.0,0.0,0.0,2.16,3.17,0.0
20190411:0510,8090.0,32.6,5.81,1.81,3.24,0.0
20190411:0610,97150.0,247.24,15.54,2.12,3.38,0.0
20190411:0710,208740.0,482.21,25.08,2.79,3.59,0.0
20190411:0810,297805.0,688.6,33.95,4.06,3.66,0.0
20190411:0910,290925.0,679.15,41.49,5.78,3.72,0.0
20190411:1010,298615.0,703.52,46.79,7.16,3.79,0.0
20190411:1110,199975.0,472.73,48.86,8.32,3.72,0.0
20190411:1210,234030.0,553.61,47.18,8.75,3.66,0.0
20190411:1310,206030.0,486.82,42.17,8.7,3.66,0.0
20190411:1410,173240.0,410.19,34.82,8.52,3.59,0.0
20190411:1510,110050.0,267.62,26.06,8.19,3.59,0.0
20190411:1610,75350.0,203.36,16.56,7.42,3.52,0.0
20190411:1710,9495.0,36.21,6.83,6.61,3.38,0.0
20190411:1810,0.0,0.0,0.0,5.77,3.03,0.0
20190411:1910,0.0,0.0,0.0,5.32,3.31,0.0
20190411:2010,0.0,0.0,0.0,4.57,3.24,0.0
20190411:2110,0.0,0.0,0.0,3.88,3.24,0.0
20190411:2210,0.0,0.0,0.0,3.27,3.24,0.0
20190411:2310,0.0,0.0,0.0,2.68,3.24,0.0
20190412:0010,0.0,0.0,0.0,1.96,3.03,0.0
20190412:0110,0.0,0.0,0.0,1.34,2.9,0.0
20190412:0210,0.0,0.0,0.0,0.82,2.76,0.0
20190412:0310,0.0,0.0,0.0,0.42,2.69,0.0
20190412:0410,0.0,0.0,0.0,0.02,2.62,0.0
20190412:0510,9250.0,35.31,6.13,-0.28,2.69,0.0
20190412:0610,90390.0,227.17,15.87,0.36,3.03,0.0
20190412:0710,175650.0,404.67,25.41,1.28,3.17,0.0
20190412:0810,323245.0,746.38,34.29,2.52,3.31,0.0
20190412:0910,362860.0,854.28,41.85,4.03,3.1,0.0
20190412:1010,393155.0,943.94,47.17,5.11,2.76,0.0
20190412:1110,342195.0,816.79,49.23,5.77,2.62,0.0
20190412:1210,0.0,0.0,0.0,6.11,2.55,0.0
20190412:1310,251925.0,594.2,42.47,6.49,2.48,0.0
20190412:1410,164750.0,389.02,35.09,6.26,2.41,0.0
20190412:1510,69975.0,175.66,26.3,6.01,2.28,0.0
20190412:1610,46790.0,125.43,16.79,5.79,2.14,0.0
20190412:1710,9245.0,34.62,7.06,5.44,2.14,0.0
20190412:1810,0.0,0.0,0.0,4.91,2.0,0.0
20190412:1910,0.0,0.0,0.0,3.84,2.41,0.0
20190412:2010,0.0,0.0,0.0,3.3,2.41,0.0
20190412:2110,0.0,0.0,0.0,2.81,2.41,0.0
20190412:2210,0.0,0.0,0.0,2.28,2.28,0.0
20190412:2310,0.0,0.0,0.0,1.9,2.21,0.0
20190413:0010,0.0,0.0,0.0,1.54,2.07,0.0
20190413:0110,0.0,0.0,0.0,1.07,2.07,0.0
20190413:0210,0.0,0.0,0.0,0.88,2.0,0.0
20190413:0310,0.0,0.0,0.0,0.57,1.93,0.0
20190413:0410,0.0,0.0,0.0,0.05,1.93,0.0
20190413:0510,10100.0,38.22,6.45,-0.09,1.86,0.0
20190413:0610,102115.0,258.05,16.18,0.53,1.93,0.0
20190413:0710,219195.0,508.71,25.74,2.17,2.34,0.0
20190413:0810,310905.0,731.36,34.63,3.87,2.0,0.0
20190413:0910,368470.0,894.81,42.21,5.36,1.52,0.0
20190413:1010,400450.0,995.77,47.53,6.46,1.31,0.0
20190413:1110,215365.0,513.86,49.59,7.1,1.52,0.0
20190413:1210,203120.0,483.96,47.85,7.47,1.79,0.0
20190413:1310,164075.0,391.91,42.77,7.71,1.86,0.0
20190413:1410,205935.0,488.7,35.35,7.73,2.07,0.0
20190413:1510,131570.0,317.51,26.54,7.51,2.28,0.0
20190413:1610,84105.0,230.95,17.02,7.26,2.55,0.0
20190413:1710,9650.0,37.02,7.29,6.72,2.69,0.0
20190413:1810,0.0,0.0,0.0,5.52,2.48,0.0
20190413:1910,0.0,0.0,0.0,4.41,2.83,0.0
20190413:2010,0.0,0.0,0.0,3.48,2.76,0.0
20190413:2110,0.0,0.0,0.0,2.67,2.62,0.0
20190413:2210,0.0,0.0,0.0,2.03,2.55,0.0
20190413:2310,0.0,0.0,0.0,1.61,2.69,0.0
20190414:0010,0.0,0.0,0.0,1.27,2.62,0.0
20190414:0110,0.0,0.0,0.0,0.86,2.48,0.0
20190414:0210,0.0,0.0,0.0,0.55,2.41,0.0
20190414:0310,0.0,0.0,0.0,0.38,2.34,0.0
20190414:0410,0.0,0.0,0.0,0.34,2.34,0.0
20190414:0510,11475.0,55.74,6.77,0.33,2.34,0.0
20190414:0610,110460.0,280.7,16.5,1.12,2.28,0.0
20190414:0710,144940.0,338.12,26.06,2.55,2.97,0.0
20190414:0810,193120.0,446.36,34.97,3.96,3.45,0.0
20190414:0910,339520.0,794.17,42.56,5.31,3.93,0.0
20190414:1010,387190.0,920.41,47.9,5.76,3.66,0.0
20190414:1110,379260.0,905.01,49.95,6.19,3.45,0.0
20190414:1210,137950.0,328.15,48.19,6.55,3.45,0.0
20190414:1310,109355.0,264.14,43.07,7.08,3.72,0.0
20190414:1410,37230.0,102.02,35.62,7.42,3.86,0.0
20190414:1510,88900.0,218.42,26.78,7.11,3.93,0.0
20190414:1610,38260.0,104.75,17.25,6.65,3.86,0.0
20190414:1710,11845.0,41.54,7.52,6.18,3.24,0.0
20190414:1810,0.0,0.0,0.0,5.72,2.76,0.0
20190414:1910,0.0,0.0,0.0,5.03,2.21,0.0
20190414:2010,0.0,0.0,0.0,4.72,1.72,0.0
20190414:2110,0.0,0.0,0.0,4.34,1.52,0.0
20190414:2210,0.0,0.0,0.0,3.89,1.52,0.0
20190414:2310,0.0,0.0,0.0,3.8,1.52,0.0
20190415:0010,0.0,0.0,0.0,3.68,1.59,0.0
20190415:0110,0.0,0.0,0.0,3.93,1.72,0.0
20190415:0210,0.0,0.0,0.0,4.12,1.93,0.0
20190415:0310,0.0,0.0,0.0,4.12,2.21,0.0
20190415:0410,0.0,0.0,0.0,3.87,2.41,0.0
20190415:0510,13460.0,50.22,7.08,3.53,2.48,0.0
20190415:0610,105890.0,271.74,16.81,4.28,2.14,0.0
20190415:0710,221745.0,522.11,26.38,5.55,2.48,0.0
20190415:0810,312930.0,743.39,35.3,7.64,2.76,0.0
20190415:0910,384830.0,938.52,42.91,9.71,2.9,0.0
20190415:1010,425710.0,1057.34,48.26,11.34,3.17,0.0
20190415:1110,440475.0,1103.46,50.31,12.41,3.31,0.0
20190415:1210,423805.0,1057.91,48.52,13.07,3.38,0.0
20190415:1310,377150.0,928.71,43.36,13.44,3.45,0.0
20190415:1410,299685.0,726.3,35.88,13.46,3.52,0.0
20190415:1510,198695.0,486.5,27.02,13.23,3.45,0.0
20190415:1610,84255.0,240.54,17.48,12.65,3.31,0.0
20190415:1710,8630.0,35.41,7.75,11.64,2.69,0.0
20190415:1810,0.0,0.0,0.0,9.96,2.76,0.0
20190415:1910,0.0,0.0,0.0,9.08,2.83,0.0
20190415:2010,0.0,0.0,0.0,8.04,2.9,0.0
20190415:2110,0.0,0.0,0.0,7.22,2.9,0.0
20190415:2210,0.0,0.0,0.0,6.54,2.97,0.0
20190415:2310,0.0,0.0,0.0,5.94,2.9,0.0
20190416:0010,0.0,0.0,0.0,5.34,2.76,0.0
20190416:0110,0.0,0.0,0.0,4.78,2.62,0.0
20190416:0210,0.0,0.0,0.0,4.28,2.48,0.0
20190416:0310,0.0,0.0,0.0,3.8,2.34,0.0
20190416:0410,0.0,0.0,0.0,3.37,2.28,0.0
20190416:0510,13915.0,61.45,7.39,3.15,2.21,0.0
20190416:0610,110880.0,284.59,17.12,4.5,2.07,0.0
20190416:0710,225190.0,534.3,26.69,6.8,2.28,0.0
20190416:0810,312385.0,748.97,35.63,9.13,2.62,0.0
20190416:0910,383950.0,943.72,43.26,11.15,2.9,0.0
20190416:1010,420865.0,1055.97,48.62,12.76,2.97,0.0
20190416:1110,434315.0,1102.17,50.67,13.96,2.97,0.0
20190416:1210,417345.0,1058.3,48.85,14.82,2.9,0.0
20190416:1310,368465.0,923.7,43.65,15.39,2.76,0.0
20190416:1410,293820.0,725.99,36.13,15.65,2.62,0.0
20190416:1510,197060.0,490.49,27.26,15.59,2.62,0.0
20190416:1610,84680.0,244.96,17.71,15.15,2.69,0.0
20190416:1710,12495.0,45.28,7.98,13.98,2.48,0.0
20190416:1810,0.0,0.0,0.0,12.04,2.97,0.0
20190416:1910,0.0,0.0,0.0,10.78,3.1,0.0
20190416:2010,0.0,0.0,0.0,9.74,2.97,0.0
20190416:2110,0.0,0.0,0.0,8.83,2.83,0.0
20190416:2210,0.0,0.0,0.0,8.13,2.76,0.0
20190416:2310,0.0,0.0,0.0,7.55,2.55,0.0
20190417:0010,0.0,0.0,0.0,6.92,2.41,0.0
20190417:0110,0.0,0.0,0.0,6.39,2.28,0.0
20190417:0210,0.0,0.0,0.0,5.87,2.21,0.0
20190417:0310,0.0,0.0,0.0,5.4,2.14,0.0
20190417:0410,0.0,0.0,0.0,4.9,2.07,0.0
20190417:0510,15295.0,64.76,7.7,4.69,1.93,0.0
20190417:0610,110310.0,284.53,17.43,6.04,1.59,0.0
20190417:0710,225255.0,540.13,27.01,8.77,2.14,0.0
20190417:0810,312220.0,759.31,35.95,11.25,2.34,0.0
20190417:0910,379690.0,948.82,43.6,13.23,2.48,0.0
20190417:1010,417890.0,1065.87,48.98,14.58,2.55,0.0
20190417:1110,427235.0,1098.16,51.02,15.47,2.62,0.0
20190417:1210,418060.0,1067.74,49.18,16.03,2.9,0.0
20190417:1310,371620.0,931.72,43.94,16.27,3.17,0.0
20190417:1410,296400.0,728.61,36.39,16.11,3.45,0.0
20190417:1510,200330.0,495.74,27.49,15.65,3.66,0.0
20190417:1610,86000.0,247.69,17.94,14.94,3.59,0.0
20190417:1710,7635.0,33.67,8.2,13.95,2.97,0.0
20190417:1810,0.0,0.0,0.0,12.37,3.03,0.0
20190417:1910,0.0,0.0,0.0,11.5,3.03,0.0
20190417:2010,0.0,0.0,0.0,10.65,3.17,0.0
20190417:2110,0.0,0.0,0.0,10.03,3.1,0.0
20190417:2210,0.0,0.0,0.0,9.44,2.83,0.0
20190417:2310,0.0,0.0,0.0,8.74,2.62,0.0
20190418:0010,0.0,0.0,0.0,8.11,2.55,0.0
20190418:0110,0.0,0.0,0.0,7.59,2.55,0.0
20190418:0210,0.0,0.0,0.0,7.18,2.62,0.0
20190418:0310,0.0,0.0,0.0,6.88,2.69,0.0
20190418:0410,0.0,0.0,0.0,6.62,2.76,0.0
20190418:0510,15615.0,67.17,8.0,6.59,2.76,0.0
20190418:0610,77505.0,200.03,17.73,7.86,2.55,0.0
20190418:0710,166820.0,399.28,27.31,9.96,3.59,0.0
20190418:0810,301365.0,721.88,36.27,11.96,4.07,0.0
20190418:0910,379895.0,927.64,43.94,13.49,4.41,0.0
20190418:1010,418620.0,1036.7,49.33,15.18,4.97,0.0
20190418:1110,430855.0,1075.49,51.37,16.29,5.1,0.0
20190418:1210,416015.0,1038.29,49.5,17.05,5.03,0.0
20190418:1310,366140.0,905.74,44.23,17.63,4.97,0.0
20190418:1410,290230.0,711.96,36.65,17.88,4.69,0.0
20190418:1510,193995.0,483.28,27.73,17.92,4.48,0.0
20190418:1610,83375.0,242.91,18.16,17.55,4.14,0.0
20190418:1710,9035.0,37.62,8.43,16.47,3.38,0.0
20190418:1810,0.0,0.0,0.0,14.67,3.17,0.0
20190418:1910,0.0,0.0,0.0,13.46,3.24,0.0
20190418:2010,0.0,0.0,0.0,12.48,3.24,0.0
20190418:2110,0.0,0.0,0.0,11.69,3.24,0.0
20190418:2210,0.0,0.0,0.0,11.03,3.24,0.0
20190418:2310,0.0,0.0,0.0,10.38,3.1,0.0
20190419:0010,0.0,0.0,0.0,9.74,3.03,0.0
20190419:0110,0.0,0.0,0.0,9.19,2.97,0.0
20190419:0210,0.0,0.0,0.0,8.68,2.9,0.0
20190419:0310,0.0,0.0,0.0,8.23,2.9,0.0
20190419:0410,0.0,0.0,0.0,7.82,2.9,0.0
20190419:0510,15215.0,70.19,8.3,7.75,2.83,0.0
20190419:0610,114190.0,298.17,18.03,9.19,2.55,0.0
20190419:0710,224990.0,543.61,27.62,11.8,2.97,0.0
20190419:0810,309015.0,752.36,36.59,14.01,3.45,0.0
20190419:0910,372745.0,926.17,44.27,15.83,3.79,0.0
20190419:1010,414475.0,1047.61,49.68,17.32,4.07,0.0
20190419:1110,421290.0,1072.48,51.72,18.45,4.21,0.0
20190419:1210,401995.0,1023.32,49.82,19.27,4.07,0.0
20190419:1310,361950.0,914.43,44.51,19.78,3.86,0.0
20190419:1410,286300.0,715.1,36.9,19.98,3.66,0.0
20190419:1510,192475.0,486.37,27.96,19.86,3.52,0.0
20190419:1610,82560.0,242.63,18.38,19.35,3.31,0.0
20190419:1710,8775.0,37.41,8.65,18.12,2.69,0.0
20190419:1810,0.0,0.0,0.0,16.19,2.9,0.0
20190419:1910,0.0,0.0,0.0,15.26,3.24,0.0
20190419:2010,0.0,0.0,0.0,14.08,3.1,0.0
20190419:2110,0.0,0.0,0.0,13.09,2.9,0.0
20190419:2210,0.0,0.0,0.0,12.24,2.76,0.0
20190419:2310,0.0,0.0,0.0,11.47,2.69,0.0
20190420:0010,0.0,0.0,0.0,10.72,2.55,0.0
20190420:0110,0.0,0.0,0.0,10.03,2.41,0.0
20190420:0210,0.0,0.0,0.0,9.38,2.34,0.0
20190420:0310,0.0,0.0,0.0,8.81,2.34,0.0
20190420:0410,0.0,0.0,0.0,8.31,2.34,0.0
20190420:0510,16425.0,74.73,8.6,8.21,2.28,0.0
20190420:0610,117530.0,307.29,18.33,9.85,2.07,0.0
20190420:0710,226315.0,552.55,27.92,12.54,2.14,0.0
20190420:0810,311320.0,771.27,36.91,15.17,2.48,0.0
20190420:0910,375535.0,953.73,44.6,17.13,2.76,0.0
20190420:1010,416425.0,1076.33,50.03,18.46,3.03,0.0
20190420:1110,422480.0,1100.98,52.06,19.4,3.03,0.0
20190420:1210,403985.0,1050.17,50.14,20.04,2.97,0.0
20190420:1310,365425.0,939.0,44.8,20.4,2.9,0.0
20190420:1410,289590.0,731.16,37.15,20.45,2.9,0.0
20190420:1510,197135.0,501.34,28.19,20.23,2.83,0.0
20190420:1610,85100.0,249.85,18.6,19.62,2.76,0.0
20190420:1710,8040.0,35.95,8.88,18.34,2.14,0.0
20190420:1810,0.0,0.0,0.0,16.36,2.28,0.0
20190420:1910,0.0,0.0,0.0,14.99,2.41,0.0
20190420:2010,0.0,0.0,0.0,13.53,2.34,0.0
20190420:2110,0.0,0.0,0.0,12.21,2.21,0.0
20190420:2210,0.0,0.0,0.0,11.04,2.07,0.0
20190420:2310,0.0,0.0,0.0,10.23,2.14,0.0
20190421:0010,0.0,0.0,0.0,9.17,2.14,0.0
20190421:0110,0.0,0.0,0.0,8.4,2.21,0.0
20190421:0210,0.0,0.0,0.0,8.41,2.21,0.0
20190421:0310,0.0,0.0,0.0,7.58,2.21,0.0
20190421:0410,0.0,0.0,0.0,7.28,2.14,0.0
20190421:0510,18125.0,77.29,8.89,7.05,2.07,0.0
20190421:0610,116445.0,303.35,18.62,9.28,1.72,0.0
20190421:0710,226605.0,552.87,28.22,12.19,2.0,0.0
20190421:0810,308880.0,765.62,37.22,14.91,2.28,0.0
20190421:0910,372175.0,946.36,44.93,17.19,2.62,0.0
20190421:1010,413190.0,1067.43,50.37,18.6,3.03,0.0
20190421:1110,417145.0,1084.76,52.41,19.36,3.03,0.0
20190421:1210,398875.0,1034.27,50.46,19.9,2.97,0.0
20190421:1310,357180.0,915.16,45.08,20.23,2.9,0.0
20190421:1410,284315.0,716.68,37.4,20.3,2.9,0.0
20190421:1510,194580.0,494.61,28.42,20.08,2.76,0.0
20190421:1610,84050.0,245.47,18.82,19.55,2.69,0.0
20190421:1710,9050.0,38.72,9.1,18.32,2.34,0.0
20190421:1810,0.0,0.0,0.0,16.32,2.69,0.0
20190421:1910,0.0,0.0,0.0,15.02,2.69,0.0
20190421:2010,0.0,0.0,0.0,13.72,2.69,0.0
20190421:2110,0.0,0.0,0.0,12.69,2.62,0.0
20190421:2210,0.0,0.0,0.0,11.83,2.55,0.0
20190421:2310,0.0,0.0,0.0,11.07,2.48,0.0
20190422:0010,0.0,0.0,0.0,10.4,2.41,0.0
20190422:0110,0.0,0.0,0.0,9.79,2.34,0.0
20190422:0210,0.0,0.0,0.0,9.26,2.34,0.0
20190422:0310,0.0,0.0,0.0,8.84,2.41,0.0
20190422:0410,0.0,0.0,0.0,8.51,2.55,0.0
20190422:0510,18415.0,79.1,9.18,8.58,2.55,0.0
20190422:0610,116570.0,304.13,18.9,10.34,2.41,0.0
20190422:0710,226575.0,550.38,28.51,12.84,2.9,0.0
20190422:0810,314470.0,770.52,37.52,15.18,3.52,0.0
20190422:0910,364685.0,908.09,45.25,16.96,4.07,0.0
20190422:1010,415900.0,1052.65,50.71,18.19,4.41,0.0
20190422:1110,420470.0,1069.87,52.74,19.05,4.55,0.0
20190422:1210,392480.0,992.76,50.77,19.61,4.69,0.0
20190422:1310,350925.0,878.47,45.35,19.87,4.76,0.0
20190422:1410,274180.0,678.25,37.64,19.79,4.83,0.0
20190422:1510,191965.0,480.38,28.64,19.34,5.03,0.0
20190422:1610,81165.0,229.74,19.04,18.38,5.1,0.0
20190422:1710,15205.0,53.43,9.32,16.96,5.24,0.0
20190422:1810,0.0,0.0,0.0,15.04,5.31,0.0
20190422:1910,0.0,0.0,0.0,13.53,5.24,0.0
20190422:2010,0.0,0.0,0.0,12.73,5.1,0.0
20190422:2110,0.0,0.0,0.0,12.32,4.9,0.0
