time,P,G(i),H_sun,T2m,WS10m,Int
20190105:0310,0.0,0.0,0.0,0.46,4.76,0.0
20190105:0410,0.0,0.0,0.0,0.51,4.69,0.0
20190105:0510,0.0,0.0,0.0,0.54,4.97,0.0
20190105:0610,0.0,0.0,0.0,0.58,5.17,0.0
20190105:0710,0.0,0.0,0.0,0.6,5.38,0.0
20190105:0810,65725.0,160.16,6.83,0.69,5.38,0.0
20190105:0910,270365.0,604.42,12.59,0.88,5.24,0.0
20190105:1010,23780.0,68.93,16.39,1.06,4.9,0.0
20190105:1110,118335.0,272.72,17.9,1.08,4.41,0.0
20190105:1210,32450.0,88.63,16.95,1.11,4.21,0.0
20190105:1310,51685.0,130.57,13.65,1.32,3.93,0.0
20190105:1410,137565.0,318.08,8.31,1.89,3.79,0.0
20190105:1510,0.0,0.0,0.0,2.39,3.45,0.0
20190105:1610,0.0,0.0,0.0,2.8,3.17,0.0
20190105:1710,0.0,0.0,0.0,3.09,3.03,0.0
20190105:1810,0.0,0.0,0.0,3.24,2.97,0.0
20190105:1910,0.0,0.0,0.0,3.2,3.24,0.0
20190105:2010,0.0,0.0,0.0,3.17,3.31,0.0
20190105:2110,0.0,0.0,0.0,3.15,3.31,0.0
20190105:2210,0.0,0.0,0.0,3.1,3.31,0.0
20190105:2310,0.0,0.0,0.0,3.12,3.24,0.0
20190106:0010,0.0,0.0,0.0,3.17,3.1,0.0
20190106:0110,0.0,0.0,0.0,3.15,3.03,0.0
20190106:0210,0.0,0.0,0.0,3.19,2.83,0.0
20190106:0310,0.0,0.0,0.0,3.09,2.69,0.0
20190106:0410,0.0,0.0,0.0,3.06,2.48,0.0
20190106:0510,0.0,0.0,0.0,2.96,2.28,0.0
20190106:0610,0.0,0.0,0.0,2.72,2.14,0.0
20190106:0710,0.0,0.0,0.0,2.48,2.28,0.0
20190106:0810,49045.0,125.49,6.89,2.24,2.21,0.0
20190106:0910,169820.0,388.99,12.66,2.14,2.14,0.0
20190106:1010,57590.0,144.45,16.49,2.3,2.41,0.0
20190106:1110,66090.0,163.16,18.01,2.69,2.97,0.0
20190106:1210,92095.0,219.22,17.08,2.82,2.83,0.0
20190106:1310,40295.0,106.63,13.79,2.73,2.34,0.0
20190106:1410,16835.0,52.99,8.45,2.98,2.62,0.0
20190106:1510,0.0,0.0,0.0,2.64,2.0,0.0
20190106:1610,0.0,0.0,0.0,2.28,1.93,0.0
20190106:1710,0.0,0.0,0.0,2.06,1.86,0.0
20190106:1810,0.0,0.0,0.0,2.0,1.72,0.0
20190106:1910,0.0,0.0,0.0,2.47,2.07,0.0
20190106:2010,0.0,0.0,0.0,2.63,2.21,0.0
20190106:2110,0.0,0.0,0.0,2.65,2.28,0.0
20190106:2210,0.0,0.0,0.0,2.66,2.07,0.0
20190106:2310,0.0,0.0,0.0,2.72,2.14,0.0
20190107:0010,0.0,0.0,0.0,2.78,2.28,0.0
20190107:0110,0.0,0.0,0.0,2.81,2.34,0.0
20190107:0210,0.0,0.0,0.0,2.8,2.48,0.0
20190107:0310,0.0,0.0,0.0,2.78,2.69,0.0
20190107:0410,0.0,0.0,0.0,2.75,2.76,0.0
20190107:0510,0.0,0.0,0.0,2.71,2.76,0.0
20190107:0610,0.0,0.0,0.0,2.64,2.69,0.0
20190107:0710,0.0,0.0,0.0,2.38,2.9,0.0
20190107:0810,49215.0,125.82,6.95,2.41,2.97,0.0
20190107:0910,23255.0,68.09,12.75,2.61,3.17,0.0
20190107:1010,16940.0,53.31,16.59,3.0,3.93,0.0
20190107:1110,32305.0,89.16,18.13,3.13,3.52,0.0
20190107:1210,19590.0,59.74,17.22,3.39,3.59,0.0
20190107:1310,22330.0,66.18,13.94,3.15,2.9,0.0
20190107:1410,30580.0,84.81,8.61,2.76,2.69,0.0
20190107:1510,0.0,0.0,0.0,2.46,2.62,0.0
20190107:1610,0.0,0.0,0.0,2.1,2.62,0.0
20190107:1710,0.0,0.0,0.0,1.89,2.76,0.0
20190107:1810,0.0,0.0,0.0,1.58,2.9,0.0
20190107:1910,0.0,0.0,0.0,1.07,3.03,0.0
20190107:2010,0.0,0.0,0.0,0.98,3.1,0.0
20190107:2110,0.0,0.0,0.0,0.93,3.38,0.0
20190107:2210,0.0,0.0,0.0,0.78,3.59,0.0
20190107:2310,0.0,0.0,0.0,0.67,3.72,0.0
20190108:0010,0.0,0.0,0.0,0.7,3.93,0.0
20190108:0110,0.0,0.0,0.0,0.82,4.14,0.0
20190108:0210,0.0,0.0,0.0,0.93,4.41,0.0
20190108:0310,0.0,0.0,0.0,0.99,4.55,0.0
20190108:0410,0.0,0.0,0.0,1.13,4.83,0.0
20190108:0510,0.0,0.0,0.0,1.25,5.03,0.0
20190108:0610,0.0,0.0,0.0,1.42,5.1,0.0
20190108:0710,0.0,0.0,0.0,1.51,4.97,0.0
20190108:0810,141705.0,325.07,7.02,1.69,4.9,0.0
20190108:0910,77455.0,185.78,12.83,1.99,4.97,0.0
20190108:1010,16980.0,53.31,16.7,2.57,4.48,0.0
20190108:1110,24710.0,71.69,18.26,3.26,4.62,0.0
20190108:1210,27090.0,77.21,17.36,3.31,4.69,0.0
20190108:1310,9505.0,34.93,14.09,3.69,4.9,0.0
20190108:1410,20965.0,62.73,8.77,3.28,7.03,0.0
20190108:1510,0.0,0.0,0.0,2.65,6.21,0.0
20190108:1610,0.0,0.0,0.0,2.06,5.86,0.0
20190108:1710,0.0,0.0,0.0,2.01,5.86,0.0
20190108:1810,0.0,0.0,0.0,2.07,6.07,0.0
20190108:1910,0.0,0.0,0.0,1.89,6.55,0.0
20190108:2010,0.0,0.0,0.0,1.61,6.69,0.0
20190108:2110,0.0,0.0,0.0,1.24,6.69,0.0
20190108:2210,0.0,0.0,0.0,1.0,6.48,0.0
20190108:2310,0.0,0.0,0.0,0.78,6.28,0.0
20190109:0010,0.0,0.0,0.0,0.75,6.28,0.0
20190109:0110,0.0,0.0,0.0,0.92,6.76,0.0
20190109:0210,0.0,0.0,0.0,0.84,6.9,0.0
20190109:0310,0.0,0.0,0.0,0.45,6.76,0.0
20190109:0410,0.0,0.0,0.0,0.26,6.14,0.0
20190109:0510,0.0,0.0,0.0,-0.16,6.28,0.0
20190109:0610,0.0,0.0,0.0,-0.45,5.52,0.0
20190109:0710,0.0,0.0,0.0,-0.34,4.97,0.0
20190109:0810,33055.0,88.95,7.09,-0.38,4.62,0.0
20190109:0910,40630.0,105.81,12.93,-0.21,4.55,0.0
20190109:1010,35570.0,95.16,16.82,-0.05,4.62,0.0
20190109:1110,48225.0,122.81,18.4,0.09,5.1,0.0
20190109:1210,36710.0,97.77,17.51,0.28,5.38,0.0
20190109:1310,28640.0,79.65,14.25,0.11,5.31,0.0
20190109:1410,36800.0,97.54,8.93,0.0,4.83,0.0
20190109:1510,0.0,0.0,0.0,-0.25,4.41,0.0
20190109:1610,0.0,0.0,0.0,-0.62,4.28,0.0
20190109:1710,0.0,0.0,0.0,-0.7,4.0,0.0
20190109:1810,0.0,0.0,0.0,-0.71,4.28,0.0
20190109:1910,0.0,0.0,0.0,-0.84,3.45,0.0
20190109:2010,0.0,0.0,0.0,-0.93,3.31,0.0
20190109:2110,0.0,0.0,0.0,-0.96,3.38,0.0
20190109:2210,0.0,0.0,0.0,-1.04,3.59,0.0
20190109:2310,0.0,0.0,0.0,-1.03,3.24,0.0
20190110:0010,0.0,0.0,0.0,-1.05,3.45,0.0
20190110:0110,0.0,0.0,0.0,-0.86,3.38,0.0
20190110:0210,0.0,0.0,0.0,-0.69,3.31,0.0
20190110:0310,0.0,0.0,0.0,-0.49,3.52,0.0
20190110:0410,0.0,0.0,0.0,-0.4,3.45,0.0
20190110:0510,0.0,0.0,0.0,-0.42,3.38,0.0
20190110:0610,0.0,0.0,0.0,-0.38,3.38,0.0
20190110:0710,0.0,0.0,0.0,-0.31,3.38,0.0
20190110:0810,30710.0,83.87,7.18,-0.36,3.17,0.0
20190110:0910,115610.0,265.49,13.03,-0.03,4.0,0.0
20190110:1010,135120.0,307.51,16.94,0.32,4.41,0.0
20190110:1110,123415.0,283.25,18.54,0.55,4.21,0.0
20190110:1210,154275.0,349.37,17.67,0.41,4.0,0.0
20190110:1310,266655.0,598.65,14.42,0.23,4.07,0.0
20190110:1410,157270.0,358.05,9.1,-0.03,3.86,0.0
20190110:1510,0.0,0.0,0.0,-0.6,3.45,0.0
20190110:1610,0.0,0.0,0.0,-1.27,2.97,0.0
20190110:1710,0.0,0.0,0.0,-1.81,2.69,0.0
20190110:1810,0.0,0.0,0.0,-2.19,2.48,0.0
20190110:1910,0.0,0.0,0.0,-1.99,2.55,0.0
20190110:2010,0.0,0.0,0.0,-2.06,2.28,0.0
